GSSCode,AccomType2011,Ethnic2011,HouseholdComp2011,Soecono2011,Tenure2011,Income2011,Qualification2011,Depriavation2011,Umemploy2011,HousingPrice2011,ChangAccomType,ChangeEthnic,ChangeHousehold,ChangeSoecono,ChangeTenure,ChangeIncome,ChangeQualification,ChangeDepriavation,ChangeUmemploy,ChangeHousingPrice
E01001440,32.14,29.52,73.77,90.12,33.26,30420,17.2,30.66,10.96,210000,6.1,19.68,7.39,4.72,8.31,4.3,6.13,3.58,2.6,104.38
E01001441,28.69,23.71,55.5,93.87,37.96,28700,17.8,40.83,12.98,216000,-1.08,15.6,-10.41,2.5,9.19,-2.64,4.18,11.17,4.39,97.71
E01001442,22.22,22.06,57.11,86.79,39.62,26580,15.4,39.37,14.65,194000,-0.01,15.15,-3.81,2.78,6.42,-6.1,4.72,-5.68,4.81,84.11
E01001444,29.94,20.15,78.85,88.64,25.74,32300,21.8,23.84,8.75,228500,0.67,14.89,9.4,4.36,6.98,5.7,12.24,6.64,4.24,84.05
E01001445,26.82,27.87,52.73,91.74,31.19,32200,26.9,31.66,9.12,160000,4.73,21.19,1.66,9.62,14.67,-1.14,5.42,13.86,3.22,52.88
E01001446,44.93,18.9,67.13,93.32,35.3,31070,20.2,24.16,10.79,172500,2.6,13.19,2.22,10.01,15.72,-4.11,5.4,8.16,7.21,91.8
E01001447,40.8,21.35,73.45,91.28,50.28,29030,20.1,40.38,15.48,195000,2.06,15.64,-0.58,3.05,18.22,0.99,8.52,3.22,8.49,72.38
E01001448,35.04,31.25,71.81,92.91,35.32,30840,23.1,28.85,12.51,212500,7.73,23.59,5.71,5.07,8.04,2.8,10.91,1.46,5.7,80.47
E01001449,22.06,21.5,72.94,94.4,36.57,31470,20.5,27.08,11.99,200000,2.66,15.44,14.2,7.44,13.4,3.9,8.46,-0.96,6.62,73.6
E01001450,17.15,12.47,62.86,76.34,29.71,38130,34.3,19.48,7.66,210000,-0.13,9.03,11.84,13.32,4.03,-1.09,6.03,2.48,2.81,55.41
E01001451,32.28,7.29,68.2,70.27,19.9,45110,34.9,12.93,4.46,320000,0.26,3.93,2.18,6.1,2.5,9.7,7.5,9.93,0.32,101.9
E01001452,27.87,11.12,62.22,61.6,16.93,49500,40.2,9.37,3.23,635000,-1.71,5.81,4.46,-6.53,1.73,9.33,10.99,5.1,-0.29,137.61
E01001453,36.17,9.61,68.17,63.24,19.01,46510,40.6,6.05,6.26,465000,0.1,4.61,9.75,3.89,3.42,2.32,6.71,1.67,3.82,62.8
E01001454,35.08,9.6,62.06,61.58,19.08,47120,42.8,7.36,4.24,297500,0.42,4.76,-3.93,-1.84,2.73,14.72,10.79,-0.96,0.94,42.94
E01001455,27.06,12.12,75.16,75.45,18.29,43110,33.9,9.52,4.47,363750,-0.03,5.88,8.45,0.32,2.94,5.56,9.01,-0.71,1.56,92.91
E01001456,9.1,8.72,49.93,57.72,14.81,50470,45.7,4.62,2.88,547500,1.87,2.94,1.87,-9.81,-0.17,9.7,13.74,2.04,-1.94,89.36
E01001457,22.36,6.94,55.14,61.15,24.76,43770,42,11.07,4.76,225000,-2.85,4.16,10.72,3,2.83,6.01,6.75,1.44,2.41,85.09
