GSSCode,AccomType2011,Ethnic2011,HouseholdComp2011,Soecono2011,Tenure2011,Income2011,Qualification2011,Depriavation2011,Umemploy2011,HousingPrice2011,ChangAccomType,ChangeEthnic,ChangeHousehold,ChangeSoecono,ChangeTenure,ChangeIncome,ChangeQualification,ChangeDepriavation,ChangeUmemploy,ChangeHousingPrice
E01000001,1.42,7.61,37.02,28.15,27.41,65520,77.6,6.16,3.53,504999.5,0.44,2.83,12,-7.07,0.86,13.28,5.29,5.93,1.4,102.75
E01000002,1.74,5.8,38.2,28.92,29.32,66300,79.2,5.59,1.73,525000,-0.05,1.21,10.1,-6.64,2.65,17.13,10.84,5.27,-2,113.2
E01000003,0.43,10.23,33.56,47.42,40.95,54140,56.8,13.29,4.74,350000,-0.17,4.11,-5.16,-15.22,4.39,18.72,6.52,1.82,-0.17,89.89
E01000005,1.92,25.59,46.68,86.15,29.71,46740,34.5,21.36,8.68,300000,0.44,9.46,-2.66,-1.17,3.83,17.93,3.18,-24.78,-3.63,103.22
E01000006,24.7,39.95,56.96,90.31,25.65,38200,32.9,17.08,9.5,240500,5.03,25.7,-2.45,3.88,2.6,14.61,10.4,4.51,1.79,193.29
E01000007,7.42,47.25,43.78,85.59,41.19,32940,32.3,37.24,11.9,212000,-2.97,28.27,-3.14,-2.79,25.34,17.34,14.18,-10.86,-0.14,168.78
E01000008,3.33,34.65,52.27,76.71,13.73,31430,24.2,45.22,17.96,140000,-5.54,17.67,2.25,-7.69,3.94,12.49,8.46,0.57,5.35,112.93
E01000009,33.98,40.8,64.2,90.73,35.73,35230,35,29.41,10.04,226500,5.58,21.25,0.05,-0.87,2.86,10.56,12.01,2.01,2.54,96.27
E01000010,10.11,46.66,56.16,74.88,27.9,35190,44.9,38.45,9.65,151475,-21.95,26.05,-2.64,-13.28,-1.2,24.44,23.45,-4.15,-2.81,85.86
E01000011,30.72,32.19,45.65,88.01,31.34,34830,29.6,29.48,10.24,214000,10.45,12.37,-9.87,-5.99,3.43,14.34,5.4,-2.56,0.7,102.84
E01000012,15.45,46.09,51.26,88.15,26.98,33780,33.1,37.34,10.67,170000,-9.39,23.93,7.85,-3.1,-6.56,11.45,12.15,8.79,3.37,190.01
E01000013,16.13,10.23,75.95,93.17,35.39,33190,16.9,39.8,10.13,161000,6.66,9.16,3.07,18.45,11.14,17.34,11.58,4.32,3.04,96.65
E01000014,15.35,7.98,70.87,92.42,30.62,32850,14.3,37.83,11.4,160000,1,6.65,4.2,9.6,7.51,12.65,10.2,1.45,2.27,99.7
E01000015,25.13,12.93,58.36,91.42,42.48,32520,17.8,38.81,11.68,150000,13.7,11.46,-7.1,5.79,18.38,14.87,11.8,7.23,3.8,84.9
E01000016,11.57,7.94,71.68,90.85,31.42,33720,14.5,31.64,9.07,159995,1.35,6.33,-4.07,9.94,6.74,17.07,8.73,-1.32,0.24,93.64
E01000017,16.5,9.95,72.79,94.58,28.9,33120,19.7,35.34,8.81,167500,3.02,7.95,2.39,15.72,4.29,17.29,13.11,1.02,2.22,104.44
E01000018,13.4,8.61,71.54,91.68,28.45,33750,16.9,32.63,10.45,162000,0.81,7.54,-0.27,9.57,4.32,17.4,12.41,-1.94,3.2,80.18
E01000019,18.15,17.88,71.63,89.42,35.05,33990,20.1,32.85,13.41,170000,2.41,14.58,3.17,-0.32,9.83,14.03,11.4,3.12,6.55,97.03
E01000020,25.05,11.9,61.61,92.5,34.61,34070,20.6,34.19,11.38,155000,0.22,8.96,-5.31,8.9,8.36,18.67,10.59,-0.94,5.66,73.06
E01000021,35.47,20.85,65.23,88.41,40.69,31980,22.4,34.03,13.19,160000,4.91,14.67,-9.61,-2.89,8.68,4.97,7.34,-0.47,2.59,94.53
E01000022,18.44,13.37,67.76,91.34,38.58,34440,18.4,28.62,10.23,165000,-0.06,10.25,-1.41,3.17,11.79,12.78,6.88,-0.59,3.61,97.61
E01000023,28.97,21.7,56.78,89.04,38.83,34270,28.7,23.9,11.15,179995,-0.12,9.49,-2.89,44.86,7,10.09,6.89,6.09,5.63,157.37
E01000024,16.31,17.74,69.5,93.95,33.16,33810,17.9,29.3,9.15,169500,0.1,14.7,0.53,8.3,9.3,12.29,8.8,-0.65,1.82,100.15
E01000025,13.73,9.83,70.66,92.35,41.12,33790,16.1,32.73,10.67,160500,2.64,8.33,0.1,11.34,12.96,15.78,8.74,-1.31,4.03,104.78
E01000027,31.34,7.36,69.75,91.78,39.58,32750,14.3,49.15,11.31,182500,3.15,5.64,2.28,22.24,5.19,20.41,8.76,-0.93,0.74,98.1
E01000028,23.84,16.42,68.19,90.47,30,31780,20.5,43.01,14.2,150000,-3.5,11.52,1.63,6.69,9.3,10.5,11.57,-7.95,4.69,77
E01000029,26.67,14.17,69.05,74.14,19.73,35540,20.7,26.83,7.45,231000,0.82,11.66,1.9,2,0.1,5.97,8.1,9.9,3.11,117.16
E01000030,20.97,12.15,63.05,89.81,19.21,31830,17.4,52.51,14.05,176500,0.1,10.34,-6.99,14.04,3.45,15.7,8.9,6.33,2.54,159.56
E01000031,30.28,23.68,71.71,82.81,21.81,38150,24.9,26.75,8.14,223750,3.89,19.6,8.95,9.06,5.15,5.8,10.27,14.48,3.35,89.02
E01000032,36.66,13.43,76.87,89.59,32.29,36230,19.2,29.6,10,216000,4.31,10.46,5.53,9.04,4.86,11.27,7.86,3.78,5.26,99.08
E01000033,30.98,7.45,67.37,86.9,23.78,33730,14.2,40.95,13.2,172000,0.37,5.81,-5.97,4.28,6.4,14.71,7.65,5.12,5.93,102.65
E01000034,27.47,6.02,77.49,91.3,34.18,36300,14.8,31.4,8.74,172500,0.37,4.59,3.33,6.31,3.75,12.78,7.34,-3.97,3.83,60
E01000035,27.48,11.17,72.57,88.88,34.55,37170,20.9,28.15,9.2,180000,4.64,8.6,1.8,5.29,7.65,12.99,12.99,12.23,2.79,89.22
E01000036,22.97,15.84,67.58,88.42,21.76,38460,22.8,21.53,6.3,202500,1.15,12.96,11.89,6.4,4.47,17,12.98,6.98,1.3,127.21
E01000037,19.08,3.61,66.6,77.6,15.35,40510,18.5,22.28,12.75,205000,-0.53,2.2,10.94,4.46,0.53,11.24,7.4,0.35,7.51,93.17
E01000038,22.38,4.08,68.6,85.34,23.32,38390,15.4,18.87,6.91,205000,0.8,2.59,5.61,14.08,0.59,10.27,8.45,2.13,3.07,74.94
E01000039,25.95,4.96,72.03,86.34,25.06,38810,22.1,18.39,7.34,192500,2.64,3.19,10.3,12.99,6.91,1.17,7.16,4.74,4.46,85.65
E01000040,28.99,17.14,72.71,93.99,26.16,33570,20.4,38.87,10.73,173000,6,14.57,-4.32,19.27,8.06,23.05,12.4,-7.7,2.7,127.82
E01000041,11.9,11.62,68.81,94.07,29.9,33500,17.1,32.86,11.08,160000,4.61,9.99,0.79,17.7,7.13,17.53,12.45,6.5,5.94,103.98
E01000042,25.77,20.94,63.86,90.12,30.75,32270,20.3,39.49,14.91,153500,2.36,17.48,4.79,15.48,15.03,14.21,8.36,3.19,6.79,104.7
E01000043,22.48,23.34,72.66,89.57,30.73,34390,19.2,32.94,11.13,225000,1.65,19.34,-7.4,6.74,9.65,13.05,8.26,9.82,5,143.91
E01000044,20.31,39.74,65.11,89.79,31.99,35370,24,31.97,9.18,183000,10.13,28.56,-2.94,3.71,8.35,8.24,4.42,8.07,3.14,108.43
E01000045,21.32,15.28,65.78,93.35,31.82,34060,21.9,40.12,10.34,139500,9.41,13.15,-8.17,8.07,7.35,17.33,13.1,8.48,4.44,73.16
E01000046,18.27,9.27,65.93,89.73,36.55,33080,16.6,28.92,10.74,158000,5.47,7.32,-7.65,8.1,11.09,10.88,8.41,1.08,3.76,79.67
E01000048,2.69,26.34,49.05,77.2,5.68,28270,19.5,55.47,18.69,129000,-4.28,13.64,-0.87,-1.01,0.38,18.88,4.3,-7.08,0.75,118.64
E01000049,13.18,26.69,57.47,78.74,13.07,29960,20.7,44.56,17.08,135000,-3.17,17.5,-2.56,0.25,4.4,19.42,8.11,-12.03,4.12,62.42
E01000050,28.32,39.86,71.98,90.34,35.28,32130,26.3,34.65,11.82,188500,8.49,27.39,-2.52,1.23,5.85,14.29,9.39,4.52,5.32,128.85
E01000051,2.85,31.29,45.03,79.63,9.18,28400,22.9,53.9,17.89,137000,-1.2,17.96,-4.33,0.54,4.71,17.53,9.25,-2.95,1.19,0
E01000052,23.6,32.36,70.77,91.04,35.97,32570,24.6,29.24,8.65,149500,11.33,26.27,-2.98,3.87,9.59,9.36,9.22,1.88,2.61,81.35
E01000053,30.35,15.32,63.68,93.36,46.27,33100,20.6,32.75,11.39,112000,6.56,10.74,3.17,5.6,11.82,7.9,7.7,-2.08,3.53,82.86
E01000054,13.9,8.84,72.93,89.8,32.08,34260,16.6,29.77,10.25,159500,5.62,7.66,-0.19,11.03,10.33,21.56,10.17,1.48,3.88,93.77
E01000055,11.76,10.09,68.49,91.01,30.21,34210,18.4,29.71,11.04,152000,4.01,8.34,-1.87,9.1,9.85,19.8,10.84,-4.56,3.78,89.12
E01000056,17.35,10.73,60.73,92.77,46.04,33890,16.5,37.71,11.71,155000,9.88,8.89,-8.15,9.4,11.61,16.85,8.97,-1.35,4.77,97.31
E01000057,19.17,12.56,69.46,93.26,36.94,33940,21.2,38.86,9.39,152500,7.85,10.28,0.49,11.34,13.81,19.21,14.27,4.66,3.06,87.4
E01000058,20.27,16.78,67.57,91.06,38.28,34470,21.4,37.36,8.9,168000,10.02,14.97,1.43,10.77,16.58,28.03,15.38,9.63,2.03,100.78
E01000059,10.12,7.71,69.35,92.68,32.67,33460,16.4,34.55,10.01,150997.5,2.31,6.28,-0.98,7.04,11.48,18.8,9.5,4.03,2.47,86.71
E01000060,30.39,10,65.39,91.37,27.87,32960,18.7,42,12.03,158000,0.92,8.62,-0.4,19.68,7.28,18.63,12.06,3.68,3.44,88.38
E01000061,2.22,11.62,45.98,79.29,4.44,29130,17.2,51.26,18.63,116500,0.4,8.67,3.83,5.34,1.01,6.07,6.15,-10.45,-0.11,95.8
E01000062,24.5,11.14,73.56,89.57,32.73,33600,19.3,33.29,12.33,163000,2.73,9.73,4.69,12.4,6.03,16.93,12,6.51,6.88,86.69
E01000063,14,7.88,70.99,90.55,30.08,32930,14.7,33.92,11.62,163500,2.29,6.2,1.53,11.95,7.32,13.68,7.98,0.77,4.81,95.81
E01000064,29.22,9.52,75.27,92.58,37.69,32390,17.8,35.19,9.94,142500,3.67,7.8,4.53,13.75,11.09,13.08,12.14,2.66,2.76,77.57
E01000065,26.31,9.22,63.3,89.81,29.37,31210,17.2,36.6,11.38,158750,2.01,7.94,6.98,13.26,8.09,10.79,11.27,6.19,4.38,101.99
E01000066,31.58,25.47,67.25,95.91,29.86,39010,22,25.42,7.41,259747.5,8.68,23.21,-0.86,19.53,5.95,5.01,9.43,5.92,3.99,114.11
E01000067,25.17,21.95,70.94,90.61,29.73,40040,23.6,23.07,8.73,250000,4.26,19.96,4.15,15.65,5.29,3.56,11.47,6.85,5.34,82.32
E01000068,20.49,34.12,62.27,90.31,22.99,41560,26.5,23.35,6,260000,4.08,25.54,-0.66,7.76,5.33,13.3,7.29,6.25,1.94,99.23
E01000069,14.22,22.37,57.04,88.43,16.82,42310,23.7,15.88,4.29,298000,5.32,20.42,6.58,17.57,4.26,5.61,14.32,6.79,1.18,111.91
E01000070,25.72,34.39,65.94,88.02,22.63,41110,25.7,20.42,8.04,250000,4.26,30.53,-0.98,15.66,4.14,1.29,9.25,9.26,4.03,76.21
E01000071,27.06,35.38,69.66,89.26,31.97,39900,28.2,16.91,7.96,249995,7.15,29.93,2.76,12.74,10.43,-0.04,9.68,4.57,2.8,121.61
E01000072,29.7,11.75,65.76,89.86,39.15,31020,16.3,42.4,11.92,172750,14.75,9.67,-3.86,6.95,16.3,5.93,11,5.32,4.13,119.72
E01000073,13.85,10.37,68.41,92.37,32.28,33160,17.1,36.42,10.19,155000,3.94,8.78,-4.3,15.37,6.23,19.06,12.28,3.39,3.42,103.28
E01000074,16.75,8.76,66.78,90.3,27.98,33140,16.7,32.27,9.39,152000,3.14,7.46,-0.37,8.39,7.54,15.17,11.43,-2.64,2.45,98.37
E01000075,20.71,8.63,71.84,90.21,30.01,33810,15.4,34.92,9.23,181500,0.55,7.21,1.74,11.47,7.05,17.72,9.02,6.16,3.97,93.99
E01000076,18.49,11.4,66.98,91.68,30.48,32160,16.1,42.34,10.98,151000,3.48,10.08,-5.72,7.08,8.65,15.48,11.02,5.78,2.14,91.29
E01000077,16.3,11.68,70.63,87.46,38.22,32110,15.6,34.7,11.83,167250,3.98,9.63,-2.73,3.6,9.93,9.12,9.15,1.32,5.63,112.89
E01000078,17.94,9.48,69.23,92.66,38.23,32430,15.6,37.66,12.05,155747.5,2.8,7.7,0.92,6.22,13.63,13,9.89,4.31,3.31,99.52
E01000079,15.24,9.17,70.48,91.31,37.98,32480,18,35.19,10.63,146000,2.24,7.96,-0.45,16.64,14.4,12.65,11.04,-0.9,3.71,81.51
E01000080,17.34,10.32,73.26,90.51,32.9,32220,15.8,34.22,13.31,158750,4.21,8.93,6.7,17.62,9.46,11.95,8.81,-0.2,7.55,96.9
E01000081,11.78,9.45,70.34,94.62,30.03,33260,15.2,32.4,8.76,169000,3.4,8.52,-2.4,15.72,8.29,16.34,9.32,-1.71,2.52,112.76
E01000082,22.26,9.4,61.58,93.27,33.94,33340,15.2,35.6,10.54,155000,4.3,7.73,-2.98,11.46,11.75,21.1,8.85,-5.25,3.48,93.15
E01000083,19.18,11.3,72.7,92.96,33.82,32870,16.2,37.6,10.63,169000,-1.2,9.44,-5.16,11.47,8.09,15.98,9.34,3.93,3.5,103.77
E01000084,12.01,9.05,67.71,86.89,32.62,33520,17.4,35.69,9.84,151000,4.47,7.4,-3.81,1.17,11.24,14.8,11.68,2.41,1.21,82.23
E01000085,21.27,11.96,71.09,89.64,39.42,31730,16,39.16,13.96,147750,8.33,9.82,-1.56,2.21,12.77,9.72,9.77,0.23,5.73,92.51
E01000086,10.05,10.46,69.78,88.6,31.69,34260,18.9,32.43,10.36,160000,4.96,8.75,0.01,6.46,10.72,20.02,13.09,2.47,3.06,103.18
E01000087,31.13,11.19,73.18,91.96,37.21,33830,17.4,35.56,9.91,160000,7.44,8.75,6.12,0.87,13.42,16.4,9.34,-5.63,0.86,97.54
E01000088,20.79,22.31,68.24,95,30.95,35690,21.9,27.83,8.87,159000,10.48,16.83,0.78,9.86,10.03,14.72,12,8.62,1.99,99.84
E01000089,13.52,15.29,66.04,89.15,25.52,34930,21.1,29.74,9.01,150000,7.46,12.47,6.01,9.37,11.78,10.15,14.85,10.17,4.48,94.17
E01000090,20.57,23.29,71.97,90.08,28.86,35550,23,26.75,8.98,150000,8.38,17.43,2.95,7.12,9.13,14.56,13.1,1.26,3.89,89.72
E01000091,28.6,19.02,64.13,90.3,20.84,30860,17.6,46.83,13.32,171250,4.18,15.79,-6.28,13.16,3.9,11.65,8.08,1.91,2.91,100.15
E01000092,27.2,29.87,60.74,91.41,48.15,34850,27.1,27.63,13.55,175000,9.36,24.97,-9.42,16.11,17.79,17.93,15.21,3.19,6.48,96.91
E01000093,18.17,18.73,51.27,90.38,18.31,31020,19,48.79,13.77,178500,-3.79,15.53,-15.17,6.08,6.75,16.22,8.98,-3.34,3.14,174.36
E01000094,22.78,27.02,46.73,87.31,38.23,35620,37.4,31.81,9.9,160000,8.74,17.78,1.53,-0.02,15.13,15.86,17.42,-5.69,-0.55,78.77
E01000095,21.07,19.25,58.08,93.83,29.3,35960,26.8,32.91,10.12,159750,4.83,14.2,7.4,8.77,10.97,10.71,11,14.11,4.43,81.15
E01000096,17.14,19.62,54.29,82.71,13.59,31070,19.8,51.18,15.42,165000,0.97,14.3,-10.42,-0.81,2.96,6.33,10.7,-3.95,2.86,95.27
E01000097,22.79,10.24,62.67,92.11,38.85,33780,18,36.8,9.21,196500,7.16,8.07,2.49,16.91,14.46,15.3,9.62,3.62,3.45,127.17
E01000098,32.03,14.52,68.99,94.34,34.07,33300,17.3,34.68,13.57,207000,8.91,11.64,-7.79,8.03,11.1,12.12,11.26,-1.59,6.05,142.99
E01000099,12.83,9.41,67.67,92.78,35.71,34610,18.2,36.96,11,205000,2.23,8.09,-0.66,15.02,11.89,19.91,11.09,6.92,3.66,150.65
E01000100,13.55,9.08,69.04,88.92,32.11,33830,16.4,35.92,12.72,160500,2.44,7.57,-2.29,9.67,7.21,17.1,9.75,3.85,7.74,104.78
E01000101,16.07,9.24,69.88,92.5,32.25,33320,18.3,37.97,8.67,159500,1.42,7.65,4.12,8.49,8.45,16.35,12.57,0.57,1.99,90.57
E01000102,15.34,9.15,68.07,91.04,28.85,33890,18.6,34.61,11.28,160000,2.77,7.85,-4.37,10.21,5.84,17.11,12.71,3.58,3.55,102.56
E01000103,18.95,13.12,67.65,90.56,41.59,32220,20.6,39.99,12.84,167500,0.5,9.1,-4.89,2.15,9.3,9.6,8.12,5.82,5.36,153.8
E01000104,14.35,11.62,54.98,89.76,26.45,31660,14.5,48.43,15.71,134925,-0.52,8.94,-7.45,8.35,10.68,14,6.25,-3.37,5.18,80.66
E01000105,24.77,9.89,66.17,89.94,27.2,30900,17.3,43.33,15.34,154500,2.39,7.94,-2.43,11.08,8.45,10.53,10.75,-8.13,5.96,121.91
E01000106,14.97,11.46,53.63,94.14,31.72,31400,19.6,46.26,11.7,105000,-2.64,9.36,-2.04,7.55,4.73,12.1,10.26,6.44,1.81,96.72
E01000107,32.15,8.95,77.92,87.64,28.67,35570,15.5,25.6,9.29,175000,2.89,7.43,7.09,17.57,9.14,11.46,7.79,5.95,6.16,83.25
E01000108,33.1,10.73,67.13,86.05,32.79,35200,19.6,26.87,9.38,190000,4.08,9.22,1.8,9.46,11.76,11.52,10.56,7.07,4.74,171.92
E01000109,13.95,15.57,73.85,90.51,29.5,36940,19,29.44,9.98,167500,3.19,12.73,14.85,10.3,7.97,12.38,10.12,7.54,6.17,78.79
E01000110,25.18,18.1,74.9,83.57,19.73,40760,26.2,19.07,7.34,212000,0.97,14.49,14.93,3.37,2.96,11.37,12.05,8.61,4.5,70.28
E01000111,30.07,14.08,75.02,89.81,35.14,36090,20.1,30.51,10.28,174000,0.42,11.02,3.59,13.8,7.06,11,11.1,2.6,4.6,154.06
E01000112,33.64,26.37,73.65,92.67,29.86,37290,24.7,26.37,9.03,185000,6.24,21.92,9.31,8.66,6.85,6.34,10.93,9.2,4.96,146.26
E01000113,22.54,24.5,69.29,90.32,25.66,38690,26.1,20.16,9.63,204500,9.53,19.66,5.37,11.87,7.34,5.02,10.45,4.51,5.56,87.62
E01000114,21.61,15.71,72.91,91.72,30.39,36990,19,26.76,6.55,180000,7.55,12.58,5.94,8.56,8.95,11.04,10.5,4.77,2.37,96.05
E01000115,11.94,17.15,55.78,70.7,14.86,43890,37.2,4.64,4.31,457000,-1.54,7.24,-0.28,-1.67,-0.03,10.78,7.47,1.58,0.78,66.64
E01000116,22.26,12.89,58.1,72.52,21.05,40180,33,9.08,4.05,340000,0.79,5.92,4.35,-6.1,-1.18,11.27,8.82,-2.03,-0.28,79.49
E01000117,26.25,9.66,71.41,76.49,21.03,37810,33.3,10.51,7.12,319000,4.45,5.61,5.23,6.6,6.11,10.46,12.94,-0.71,2.78,75.77
E01000118,24.76,15.2,66.63,76.74,20.59,38340,33.7,12.97,7.55,355000,4.52,7.97,7.22,-5.21,4.53,9.11,9.16,4.07,3.42,99.73
E01000119,18.03,23.46,68.63,63.87,19.52,41920,39.9,9.63,5.81,434500,4.73,9.32,6.54,-8.5,1.93,8.87,7.92,2.82,2.01,95.06
E01000120,10.04,20.51,60.18,67.98,16.09,42420,38.4,7.29,4.34,505000,0.52,8.64,-1.8,-2.88,-0.22,9.65,8.32,-3.61,0.73,122.96
E01000121,29.6,14.82,61.61,91.51,33.43,32850,21.9,31.93,11.84,302000,-1.24,7.94,4.61,3.83,-11.27,1.62,5.93,-14.41,5.39,94.37
E01000122,7.56,23.03,63.31,69.56,18.15,41310,40,8.95,4.7,365500,-0.56,7.14,5.27,-4.03,1.07,7.4,4.32,1.97,1.09,64.09
E01000123,33.82,15.85,63.93,79.87,25.04,37200,33.9,13.39,7.46,277500,1.37,8.67,8.61,4.11,3.26,1.94,6.13,2.8,3.81,84.62
E01000124,33.32,26.61,65.9,89.57,40.63,33870,32.1,25.33,8.44,265000,-4.2,14.39,-2.49,1.35,4,0.92,4.31,-5.17,2.93,49.09
E01000125,20.36,45.15,65.78,93.23,43.89,29120,25.8,36.42,9.17,221000,-10.61,30.23,-1.55,1.76,11.52,13.78,3.17,-1.93,0.4,88.99
E01000126,23.9,39.41,62.96,90.39,34.01,28270,28.4,32.73,11.64,219000,-8.6,9.49,13.01,6.97,2.31,6.6,2.53,-22.59,0.89,64.06
E01000127,24.14,34.21,70.35,93.87,29.83,29050,24.8,23.71,9.77,232500,3.14,21.56,-0.61,-0.72,4.65,10.31,6.53,-9.73,1.54,105.18
E01000128,27.07,35.16,69.57,89.94,36.12,30460,22.9,22.71,7.8,245000,3.59,21.61,-5.73,-1.46,7.04,11.63,4.21,-7.43,0.45,91.1
E01000129,32.1,35.69,68.46,90.25,35.15,27720,19.3,34.27,9.01,228500,1.07,17.13,8.73,2,5.8,14.37,3.13,-4.97,-1.58,93.64
E01000130,30.19,30.77,69.62,93.57,49.59,31010,25.9,27.47,9.88,232000,2.14,15.77,5.57,1.97,3.3,11.62,4.5,-6.78,3.09,143.9
E01000131,25.17,44.62,69.21,93,33.06,31990,29.6,17.79,5.87,248749.5,1.25,20,2.84,8.71,4.18,4.05,-0.19,4.03,0.71,73.04
E01000132,21.01,32.56,64.34,90.62,36.54,30800,20.2,26.09,8.91,230000,2.58,21.36,-0.93,-0.72,12.48,15.12,4.96,-2.93,3.6,82.6
E01000133,24.15,27.94,74.59,95.39,30.75,29660,20.9,28.77,10.04,236250,2.91,18.12,-0.77,3.84,5.04,13.96,5.44,-8.89,0.39,90.34
E01000134,25.15,35.34,71.63,89.27,37.75,29990,27.1,22.66,10.86,230500,0.6,23.53,7.84,-2.22,8.78,6.39,3.25,1.21,4.28,103.42
E01000135,36.12,22.5,67.66,64.29,25.36,44720,49.8,9.63,6.07,440000,3.23,6.61,-4.39,-0.39,1.34,-0.19,-3.13,3.04,1.69,20.14
E01000136,41.24,14.32,66.14,51.56,21.6,59440,56.4,10.24,2.75,1265000,1.75,4.99,0.23,-2.83,2.18,28.33,-0.94,8.99,-0.11,184.47
E01000137,13.93,31.42,66.57,90.91,35.34,32720,33.1,30.81,8.47,335000,-3.82,14.35,3.73,3.56,8.6,1.79,4.73,-8.22,-1.6,157.2
E01000138,30.9,29.52,67.41,86.71,29.44,36840,34.1,19.67,6.59,430000,0.02,10.56,-1.64,6.87,1.42,4.49,-6.97,7.81,2.1,85.34
E01000139,33.63,19.77,65.53,72.27,28.37,39690,46.8,14.44,7.52,328250,-5.99,9.2,-6.13,8.14,-0.28,4.37,0.77,7.27,2.79,68.01
E01000140,38.04,21.87,59.79,76.99,30.07,36780,47.5,17.85,7.58,413500,0.51,10.45,-2.58,13.4,-6.07,-5.75,-4.02,7.87,1.75,144.68
E01000141,43.67,37.37,51.06,80.07,25.54,32420,36.9,28.41,8.14,235000,-2.07,15.98,-5.53,-0.81,-14,-9.38,-2.38,5.57,0.34,60.2
E01000142,26.56,34.5,53.28,83.36,22.91,35040,40.2,20.36,7.27,213750,-14.11,13.39,-1.45,6.51,-8.29,-6.14,-3.38,2.68,-0.04,59.16
E01000143,30.89,31.02,62.39,86.26,37.16,33110,30,29,9.03,243750,-4.94,13.61,-10.71,3.98,-0.15,8.29,5.57,-5.85,0.07,82.51
E01000144,44.34,26.17,58.26,62.25,18.41,43950,55.5,13.75,5.49,835000,-0.18,9.97,-1.12,5.64,-5.59,10.34,-1.12,9.46,-0.47,283.42
E01000145,19.27,16.93,58.57,68.62,25.24,42520,43.4,9.15,6.93,580000,4.57,2.6,6.83,7.62,-0.92,-3.04,-6.23,5.48,1.45,103.87
E01000146,51.44,26.31,56.91,68.13,21.26,41460,51.1,14.4,7.49,450000,-1.97,10.76,-3.1,7.16,-7.47,1.31,-6.26,6.93,2.55,63.46
E01000147,7.87,41.99,66.5,88.62,23.87,33560,30.4,14.79,5.93,322000,3.18,10.76,2.93,7.08,5.63,7.92,1.99,3.64,0.7,87.79
E01000148,23.46,48.18,67.21,94.05,48.17,29610,29.9,26.22,8.98,213250,-2.77,18.23,5.33,3.62,3.83,7.42,1.68,-2.51,0.83,85.23
E01000150,33.15,44.69,71.83,89.28,34.95,32180,32.9,19.48,7.05,224000,-1.68,19.81,2.81,8.44,8.52,5.65,7.37,1.4,2.64,103.88
E01000151,9.4,40.86,50.27,86.83,13.17,27600,25.4,37.22,13.76,200000,-6.42,16.83,-5.73,-0.18,-2.75,9.73,2.53,-9.93,-2.2,61.51
E01000152,16.27,34.36,50.4,88.06,17.98,27520,22.9,34.9,12.15,174500,-2.08,10.9,-5.44,3.9,-1.92,0.74,1.98,-11.57,1.06,60.46
E01000153,26.71,28.56,65.63,90.81,29.12,28650,22.7,38.47,10.46,228750,-3.29,14.38,-2.42,-3.16,-2.42,10.97,3.69,-10.22,1.2,95.31
E01000154,19.77,37.63,68.01,94.09,26.46,27200,25.7,43.35,9.25,215000,-2.76,15.96,0.82,1.51,10.85,8.47,5.87,-9.86,-3.49,90.37
E01000155,13.71,40.58,48.35,85.46,20.09,31300,37.8,22.73,6.64,209000,-5.35,11.88,20.5,6.44,-22.12,4.55,-3.58,4.74,1.46,134.95
E01000156,52.91,14.19,61.54,62.19,29.78,39510,50.6,15.28,4.97,307500,2.1,4.77,-2.7,-7.6,2.17,7.17,8.9,-4.36,0.08,65.99
E01000157,25.5,13.39,53.92,67.04,32.25,36450,45.3,16.44,7.06,207000,1.6,4.75,4.34,-8.56,6.3,6.47,5.72,0.2,1.72,68.82
E01000158,46.8,18.51,65.31,81.24,34.12,37580,39,18.18,7.13,258250,0.08,8.54,-1.03,-0.1,4.67,9.04,7.87,-7.03,1.18,83.01
E01000159,24.23,15.07,72.98,77.22,28.18,39500,38.3,16.33,7.86,495000,2.06,7.96,6.81,0.72,4.3,12.66,8.76,-0.4,2.55,169.02
E01000160,39.51,22.04,53.85,60.9,24.21,41330,50.7,11.47,4.39,310000,-8.15,9.97,6.93,-1.67,3.69,3.54,6.38,-4.74,1.14,84
E01000161,39.74,21.47,62.18,76.51,37.25,37190,39.7,13.99,4.9,250000,3.56,8.93,5.97,11.66,4.85,-2.59,6.37,-1,0.68,30.72
E01000162,32.32,24,68.14,85.67,27.73,37290,31.7,19.02,7.76,378000,2.45,10.74,1,2.93,3.27,4.8,1.91,-0.69,0.99,85.92
E01000163,11.14,25.16,46.16,89.11,41.01,32340,31,29.6,11.51,171000,-0.12,12.02,5.3,1.47,2.74,3.17,-1.61,-7.69,2.36,76.74
E01000164,26.18,22.14,66.99,88.82,39.72,33790,34,28.48,8.55,261500,-0.91,9.87,-5.94,0.26,5.12,8.86,8.41,-5.78,1.02,139.5
E01000165,33.47,30.49,59.14,75.83,29.17,37990,41.1,11.32,6.12,369000,0.22,13.65,12.94,10.54,13.25,-2.69,-1.5,4.41,2.17,107.31
E01000166,29.45,11.86,69.14,76.16,26.95,39390,36.8,13.87,6.22,326000,1.99,5.8,0.68,-2.46,4.96,9.28,10.67,-1.09,0.81,60.1
E01000167,25.84,8.46,74.05,87.81,28.91,34740,25.2,21.75,7.77,225000,1.16,4.56,2,-3.48,2.67,8.77,10.3,-4.4,3.49,78.75
E01000168,11.01,12.22,61.18,66.46,17.14,43090,39.1,5.6,4.66,407500,-0.02,4.44,3.63,-4.4,1.79,14.58,10.81,-2,2.25,72.03
